order_id,customer_id,product_id,category,quantity,price,discount_pct,order_date,delivery_days,payment_mode
ORD0001,CUST173,PROD108,Grocery,4,1936,5,2025-05-16 08:46:51.735928,6,Card
ORD0002,CUST201,PROD139,Home,5,11960,30,2024-10-31 08:46:51.736054,7,UPI
ORD0003,CUST144,PROD082,Fashion,5,1500,10,2026-11-24 08:46:51.735800,4,UPI
ORD0004,CUST181,PROD025,Home,4,8340,20,2024-02-27 08:46:51.735964,9,UPI
ORD0005,CUST090,PROD037,Fashion,5,2523,30,2026-02-13 08:46:51.735565,7,UPI
ORD0006,CUST207,PROD131,Electronics,1,46819,0,2025-10-20 08:46:51.736080,7,UPI
ORD0007,CUST058,PROD155,Fashion,5,4085,30,2026-03-14 08:46:51.735383,4,Card
ORD0008,CUST144,PROD160,Home,2,7555,20,2026-01-16 08:46:51.735800,9,UPI
ORD0009,CUST253,PROD115,Home,5,4642,30,2026-01-07 08:46:51.736312,2,COD
ORD0010,CUST209,PROD120,Fashion,3,3604,5,2025-11-25 08:46:51.736089,2,Card
ORD0011,CUST031,PROD122,Fashion,2,3567,10,2024-11-26 08:46:51.735263,2,UPI
ORD0012,CUST200,PROD032,Fashion,3,3461,10,2025-12-04 08:46:51.736049,7,UPI
ORD0013,CUST085,PROD009,Fashion,4,2004,30,2026-06-23 08:46:51.735544,9,COD
ORD0014,CUST196,PROD117,Electronics,5,36806,20,2025-03-16 08:46:51.736032,4,COD
ORD0015,CUST067,PROD149,Home,2,3669,30,2025-05-02 08:46:51.735426,9,UPI
ORD0016,CUST202,PROD190,Grocery,5,370,5,2026-03-07 08:46:51.736058,8,UPI
ORD0017,CUST231,PROD154,Electronics,4,47856,10,2026-07-08 08:46:51.736182,5,Card
ORD0018,CUST052,PROD193,Fashion,4,4388,20,2026-02-22 08:46:51.735357,4,UPI
ORD0019,CUST183,PROD023,Electronics,1,35613,20,2025-04-30 08:46:51.735972,5,COD
ORD0020,CUST066,PROD143,Fashion,5,720,10,2024-12-15 08:46:51.735421,4,UPI
ORD0021,CUST187,PROD159,Fashion,4,3225,20,2025-08-07 08:46:51.735989,2,UPI
ORD0022,CUST055,PROD015,Electronics,2,45993,30,2025-04-08 08:46:51.735370,5,UPI
ORD0023,CUST124,PROD030,Home,2,5920,0,2026-04-19 08:46:51.735714,5,Card
ORD0024,CUST080,PROD088,Fashion,5,1358,5,2025-06-04 08:46:51.735483,7,UPI
ORD0025,CUST201,PROD137,Fashion,3,2277,30,2024-12-06 08:46:51.736054,5,Card
ORD0026,CUST097,PROD122,Grocery,3,1452,20,2024-10-19 08:46:51.735596,8,UPI
ORD0027,CUST209,PROD125,Electronics,1,73439,5,2025-06-24 08:46:51.736089,7,UPI
ORD0028,CUST135,PROD073,Home,5,10007,5,2025-08-13 08:46:51.735762,3,UPI
ORD0029,CUST056,PROD071,Grocery,1,1392,5,2024-10-22 08:46:51.735375,4,UPI
